loai_hinh,gia_ban,log_gia_ban,gia_m2,dien_tich,chieu_ngang,dien_tich_su_dung,so_phong_ngu,so_phong_ve_sinh,tong_so_tang,tinh_trang_noi_that,giay_to_phap_ly,dac_diem,quan,room_density,bath_density,area_per_floor,frontage_density,desc_length,price_zscore_district,price_percentile_district
"Nhà mặt phố, mặt tiền",10.0,2.3978952727983707,192.31,52.0,4.25,52.0,4,3,3,Không rõ,Đã có sổ,Mặt tiền,Binh Thanh,0.07692307692307693,0.057692307692307696,17.333333333333332,0.08173076923076923,1107,0.09810877360962597,0.7872464898595943
"Nhà ngõ, hẻm",11.8,2.5494451709255714,135.63,87.0,4.0,87.0,3,5,3,Không rõ,Đã có sổ,Hẻm xe hơi,Binh Thanh,0.034482758620689655,0.05747126436781609,29.0,0.04597701149425287,739,0.2333958013401398,0.8332683307332294
"Nhà ngõ, hẻm",9.3,2.33214389523559,155.0,60.0,5.0,270.0,4,4,4,Nội thất đầy đủ,Đã có sổ,Hẻm xe hơi,Binh Thanh,0.06666666666666667,0.06666666666666667,67.5,0.08333333333333333,367,0.04549715171442623,0.7537051482059283
"Nhà ngõ, hẻm",2.9,1.3609765531356006,90.62,32.0,3.0,32.0,2,3,2,Không rõ,Đã có sổ,Mặt tiền,Binh Thanh,0.0625,0.09375,16.0,0.09375,384,-0.4355233913274005,0.04192667706708268
"Nhà ngõ, hẻm",2.35,1.208960345836975,156.67,15.0,3.0,30.0,2,2,3,Nội thất cao cấp,Đã có sổ,Không rõ,Binh Thanh,0.13333333333333333,0.13333333333333333,10.0,0.2,78,-0.4768610942450575,0.021645865834633387
"Nhà mặt phố, mặt tiền",3.8,1.5686159179138452,200.0,19.0,3.3,19.0,1,2,2,Không rõ,Đã có sổ,Mặt tiền,Binh Thanh,0.05263157894736842,0.10526315789473684,9.5,0.17368421052631577,388,-0.3678798774621437,0.07956318252730109
"Nhà ngõ, hẻm",7.88,2.1838015570040787,157.6,50.0,4.0,50.0,4,4,4,Nội thất cao cấp,Đã có sổ,Hẻm xe hơi,Binh Thanh,0.08,0.08,12.5,0.08,708,-0.06122928127297913,0.6526911076443058
"Nhà ngõ, hẻm",7.59,2.150598735996164,113.28,67.0,5.2,135.0,4,3,2,Nội thất cao cấp,Đã có sổ,Nhà nở hậu,Binh Thanh,0.05970149253731343,0.04477611940298507,67.5,0.07761194029850746,582,-0.0830255246295619,0.607839313572543
"Nhà ngõ, hẻm",19.5,3.0204248861443626,243.75,80.0,4.0,240.0,4,3,4,Nội thất đầy đủ,Đã có sổ,Hẻm xe hơi,Binh Thanh,0.05,0.0375,60.0,0.05,421,0.8121236421873375,0.9457878315132605
"Nhà ngõ, hẻm",7.65,2.157559320943788,191.25,40.0,5.0,171.0,3,4,5,Nội thất đầy đủ,Đã có sổ,Hẻm xe hơi,Binh Thanh,0.075,0.1,34.2,0.125,473,-0.07851595703854473,0.6170046801872074
"Nhà ngõ, hẻm",7.4,2.128231705849268,164.44,45.0,5.0,45.0,3,4,4,Nội thất đầy đủ,Đã có sổ,Hiện trạng khác,Binh Thanh,0.06666666666666667,0.08888888888888889,11.25,0.1111111111111111,102,-0.0973058220011161,0.5801482059282371
Nhà phố liền kề,16.0,2.833213344056216,128.0,125.0,6.0,410.0,5,5,4,Không rõ,Đã có sổ,Hẻm xe hơi,Binh Thanh,0.04,0.04,102.5,0.048,361,0.5490655327113385,0.922386895475819
"Nhà ngõ, hẻm",7.9,2.186051276738094,151.92,52.0,3.6,52.0,2,2,2,Hoàn thiện cơ bản,Đã có sổ,Hẻm xe hơi,Binh Thanh,0.038461538461538464,0.038461538461538464,26.0,0.06923076923076923,244,-0.05972609207597338,0.6601014040561622
"Nhà ngõ, hẻm",15.999,2.8331545187966327,249.98,64.0,4.0,64.0,4,3,3,Không rõ,Không rõ,Hẻm xe hơi,Binh Thanh,0.0625,0.046875,21.333333333333332,0.0625,784,0.5489903732514883,0.9212168486739469
"Nhà ngõ, hẻm",7.5,2.1400661634962708,159.57,47.0,3.8,47.0,7,3,3,Không rõ,Không rõ,Mặt tiền,Binh Thanh,0.14893617021276595,0.06382978723404255,15.666666666666666,0.08085106382978723,367,-0.08978987601608758,0.59399375975039
"Nhà ngõ, hẻm",4.59,1.7209792871670078,183.6,25.0,3.0,25.0,2,3,3,Không rõ,Đã có sổ,Nhà nở hậu,Binh Thanh,0.08,0.12,8.333333333333334,0.12,168,-0.3085039041804182,0.1796021840873635
Nhà phố liền kề,22.5,3.157000421150113,250.0,90.0,4.5,420.0,10,6,8,Nội thất cao cấp,Đã có sổ,Hẻm xe hơi,Binh Thanh,0.1111111111111111,0.06666666666666667,52.5,0.05,204,1.0376020217381938,0.9609984399375975
"Nhà ngõ, hẻm",7.6,2.151762203259462,185.37,41.0,3.7,41.0,2,3,3,Không rõ,Không rõ,Hẻm xe hơi,Binh Thanh,0.04878048780487805,0.07317073170731707,13.666666666666666,0.0902439024390244,108,-0.08227393003105907,0.6119344773790951
"Nhà ngõ, hẻm",11.9,2.5572273113676265,146.91,81.0,4.06,81.0,3,3,2,Không rõ,Đã có sổ,Khác,Binh Thanh,0.037037037037037035,0.037037037037037035,40.5,0.05012345679012345,402,0.2409117473251683,0.8369734789391575
"Nhà ngõ, hẻm",5.35,1.8484548129046003,137.89,38.8,3.3,38.8,2,2,2,Nội thất đầy đủ,Đã có sổ,Hẻm xe hơi,Binh Thanh,0.051546391752577324,0.051546391752577324,19.4,0.08505154639175258,363,-0.25138271469420126,0.28471138845553823
"Nhà ngõ, hẻm",6.0,1.9459101490553132,107.14,56.0,4.2,56.0,2,2,1,Nội thất đầy đủ,Đã có sổ,Mặt tiền,Binh Thanh,0.03571428571428571,0.03571428571428571,56.0,0.075,213,-0.20252906579151572,0.40659126365054604
Nhà phố liền kề,11.98,2.563409711275944,151.65,79.0,7.7,280.0,7,6,5,Nội thất đầy đủ,Đã có sổ,Hẻm xe hơi,Binh Thanh,0.08860759493670886,0.0759493670886076,56.0,0.09746835443037975,137,0.24692450411319114,0.8397035881435257
"Nhà ngõ, hẻm",7.8,2.174751721484161,169.57,46.0,3.8,46.0,3,3,3,Không rõ,Đã có sổ,Không rõ,Binh Thanh,0.06521739130434782,0.06521739130434782,15.333333333333334,0.08260869565217391,403,-0.06724203806100197,0.6372854914196567
"Nhà ngõ, hẻm",2.34,1.205970806988609,187.2,12.5,4.0,30.0,2,2,2,Nội thất đầy đủ,Đã có sổ,Không rõ,Binh Thanh,0.16,0.16,15.0,0.32,280,-0.47761268884356034,0.019890795631825272
"Nhà ngõ, hẻm",3.94,1.597365331199831,172.81,22.8,4.0,92.0,2,2,4,Nội thất đầy đủ,Đã có sổ,Không rõ,Binh Thanh,0.08771929824561403,0.08771929824561403,23.0,0.17543859649122806,358,-0.35735755308310374,0.10140405616224649
"Nhà ngõ, hẻm",12.0,2.5649493574615367,109.09,110.0,5.6,200.0,4,3,2,Không rõ,Đã có sổ,Hẻm xe hơi,Binh Thanh,0.03636363636363636,0.02727272727272727,100.0,0.050909090909090904,154,0.24842769331019682,0.843603744149766
"Nhà ngõ, hẻm",6.48,2.012232791986386,108.0,60.0,3.5,60.0,3,2,2,Không rõ,Đã có sổ,Không rõ,Binh Thanh,0.05,0.03333333333333333,30.0,0.058333333333333334,287,-0.16645252506337868,0.4580733229329173
"Nhà ngõ, hẻm",5.2,1.8245492920510458,148.57,35.0,2.1,113.1,5,4,4,Không rõ,Đã có sổ,Nhà nở hậu,Binh Thanh,0.14285714285714285,0.11428571428571428,28.275,0.060000000000000005,376,-0.262656633671744,0.26833073322932915
"Nhà ngõ, hẻm",9.99,2.3969857684155302,86.87,115.0,11.5,115.0,10,6,1,Hoàn thiện cơ bản,Đã có sổ,Không rõ,Binh Thanh,0.08695652173913043,0.05217391304347826,115.0,0.1,113,0.09735717901112313,0.7825663026521061
"Nhà ngõ, hẻm",5.0,1.791759469228055,125.0,40.0,3.0,40.0,2,3,2,Nội thất đầy đủ,Đã có sổ,Hẻm xe hơi,Binh Thanh,0.05,0.075,20.0,0.075,223,-0.27768852564180113,0.25624024960998437
"Nhà ngõ, hẻm",1.9,1.0647107369924282,117.28,16.2,2.7,16.2,2,3,3,Nội thất cao cấp,Đã có sổ,Hẻm xe hơi,Binh Thanh,0.1234567901234568,0.1851851851851852,5.3999999999999995,0.16666666666666669,410,-0.5106828511776859,0.009750390015600624
"Nhà ngõ, hẻm",7.6,2.151762203259462,176.74,43.0,3.0,43.0,3,3,3,Không rõ,Đã có sổ,Hẻm xe hơi,Binh Thanh,0.06976744186046512,0.06976744186046512,14.333333333333334,0.06976744186046512,461,-0.08227393003105907,0.6119344773790951
"Nhà ngõ, hẻm",4.95,1.7833912195575383,198.0,25.0,4.0,25.0,2,3,3,Không rõ,Đã có sổ,Hẻm xe hơi,Binh Thanh,0.08,0.12,8.333333333333334,0.16,230,-0.28144649863431537,0.23868954758190328
"Nhà mặt phố, mặt tiền",33.9,3.5524868292083815,385.23,88.0,4.4,300.0,6,6,4,Nội thất cao cấp,Đã có sổ,Nhà nở hậu,Binh Thanh,0.06818181818181818,0.06818181818181818,75.0,0.05,729,1.8944198640314474,0.9902496099843994
"Nhà ngõ, hẻm",13.4,2.667228206581955,182.07,73.6,4.6,73.6,8,6,6,Nội thất đầy đủ,Đã có sổ,Hẻm xe hơi,Binh Thanh,0.10869565217391305,0.08152173913043478,12.266666666666666,0.0625,180,0.3536509371005964,0.8716848673946958
"Nhà ngõ, hẻm",7.99,2.196112848483529,124.84,64.0,4.0,64.0,5,3,3,Không rõ,Đã có sổ,Mặt tiền,Binh Thanh,0.078125,0.046875,21.333333333333332,0.0625,648,-0.05296174068944771,0.6766770670826833
"Nhà ngõ, hẻm",4.75,1.749199854809259,87.96,54.0,4.0,54.0,3,3,3,Không rõ,Đã có sổ,Hẻm xe hơi,Binh Thanh,0.05555555555555555,0.05555555555555555,18.0,0.07407407407407407,487,-0.2964783906043725,0.21060842433697347
"Nhà ngõ, hẻm",5.45,1.864080130807681,151.39,36.0,4.0,36.0,3,3,3,Không rõ,Đã có sổ,Hẻm xe hơi,Binh Thanh,0.08333333333333333,0.08333333333333333,12.0,0.1111111111111111,584,-0.24386676870917268,0.3044071762870515
"Nhà ngõ, hẻm",8.95,2.2975725511705014,109.15,82.0,4.0,82.0,4,3,3,Không rõ,Đã có sổ,Mặt tiền,Binh Thanh,0.04878048780487805,0.036585365853658534,27.333333333333332,0.04878048780487805,529,0.01919134076682623,0.7420046801872074
"Nhà ngõ, hẻm",5.95,1.9387416595767009,148.75,40.0,4.0,40.0,3,3,2,Không rõ,Đã có sổ,Hẻm xe hơi,Binh Thanh,0.075,0.075,20.0,0.1,110,-0.20628703878402996,0.3826053042121685
"Nhà ngõ, hẻm",9.995,2.3974406240067245,144.86,69.0,4.0,69.0,4,3,3,Không rõ,Đã có sổ,Hẻm xe hơi,Binh Thanh,0.057971014492753624,0.043478260869565216,23.0,0.057971014492753624,699,0.09773297631037449,0.7839313572542902
"Nhà ngõ, hẻm",10.19,2.4150205223238337,203.8,50.0,4.0,50.0,2,3,2,Nội thất đầy đủ,Đã có sổ,Hẻm xe hơi,Binh Thanh,0.04,0.06,25.0,0.08,266,0.11238907098118017,0.7913416536661466
Nhà biệt thự,29.9,3.4307561839036995,99.67,300.0,20.0,460.0,6,3,3,Nội thất đầy đủ,Đã có sổ,Hẻm xe hơi,Binh Thanh,0.02,0.01,153.33333333333334,0.06666666666666667,459,1.5937820246303058,0.9859594383775351
"Nhà ngõ, hẻm",10.5,2.4423470353692043,100.0,105.0,4.0,105.0,7,3,3,Không rõ,Đã có sổ,Hẻm xe hơi,Binh Thanh,0.06666666666666667,0.02857142857142857,35.0,0.0380952380952381,767,0.1356885035347687,0.8003120124804992
"Nhà ngõ, hẻm",8.999,2.302485087993712,121.61,74.0,4.0,74.0,4,3,3,Không rõ,Đã có sổ,Hẻm xe hơi,Binh Thanh,0.05405405405405406,0.04054054054054054,24.666666666666668,0.05405405405405406,521,0.02287415429949031,0.7439547581903276
"Nhà ngõ, hẻm",9.9,2.388762789235098,141.43,70.0,4.0,70.0,10,3,3,Không rõ,Đã có sổ,Hẻm xe hơi,Binh Thanh,0.14285714285714285,0.04285714285714286,23.333333333333332,0.05714285714285714,601,0.09059282762459746,0.7774960998439937
"Nhà ngõ, hẻm",7.8,2.174751721484161,104.0,75.0,4.0,75.0,4,3,3,Không rõ,Đã có sổ,Mặt tiền,Binh Thanh,0.05333333333333334,0.04,25.0,0.05333333333333334,564,-0.06724203806100197,0.6372854914196567
"Nhà ngõ, hẻm",7.9,2.186051276738094,151.92,52.0,4.0,52.0,4,3,3,Không rõ,Đã có sổ,Hẻm xe hơi,Binh Thanh,0.07692307692307693,0.057692307692307696,17.333333333333332,0.07692307692307693,607,-0.05972609207597338,0.6601014040561622
"Nhà ngõ, hẻm",3.99,1.6074359097634274,199.5,20.0,3.8,28.0,2,2,2,Nội thất cao cấp,Đã có sổ,Hẻm xe hơi,Binh Thanh,0.1,0.1,14.0,0.19,320,-0.3535995800905894,0.13338533541341654
"Nhà ngõ, hẻm",4.35,1.6770965609079151,217.5,20.0,5.0,20.0,3,4,3,Nội thất cao cấp,Đã có sổ,Hẻm xe hơi,Binh Thanh,0.15,0.2,6.666666666666667,0.25,314,-0.3265421745444867,0.15308112324492978
