loai_hinh,gia_ban,log_gia_ban,gia_m2,dien_tich,chieu_ngang,dien_tich_su_dung,so_phong_ngu,so_phong_ve_sinh,tong_so_tang,tinh_trang_noi_that,giay_to_phap_ly,dac_diem,quan,room_density,bath_density,area_per_floor,frontage_density,desc_length,price_zscore_district,price_percentile_district
"Nhà mặt phố, mặt tiền",8.9,2.2925347571405443,185.42,48.0,6.6,48.0,9,6,4,Không rõ,Đã có sổ,Mặt tiền,Binh Thanh,0.1875,0.125,12.0,0.13749999999999998,1002,0.015433367774312038,0.7361544461778471
"Nhà mặt phố, mặt tiền",23.5,3.1986731175506815,247.37,95.0,4.5,95.0,4,6,3,Không rõ,Đã có sổ,Nhà nở hậu,Binh Thanh,0.042105263157894736,0.06315789473684211,31.666666666666668,0.04736842105263158,468,1.1127614815884792,0.9699687987519501
"Nhà ngõ, hẻm",5.35,1.8484548129046003,133.75,40.0,3.5,40.0,2,3,3,Không rõ,Đã có sổ,Nhà nở hậu,Binh Thanh,0.05,0.075,13.333333333333334,0.0875,322,-0.25138271469420126,0.28471138845553823
"Nhà ngõ, hẻm",6.5,2.0149030205422647,132.65,49.0,4.2,49.0,2,2,2,Nội thất đầy đủ,Đã có sổ,Nhà nở hậu,Binh Thanh,0.04081632653061224,0.04081632653061224,24.5,0.08571428571428572,482,-0.164949335866373,0.46801872074882994
"Nhà ngõ, hẻm",3.99,1.6074359097634274,159.6,25.0,4.0,25.0,2,2,2,Hoàn thiện cơ bản,Đã có sổ,Hẻm xe hơi,Binh Thanh,0.08,0.08,12.5,0.16,404,-0.3535995800905894,0.13338533541341654
"Nhà ngõ, hẻm",7.98,2.194999882314108,99.75,80.0,4.0,80.0,3,2,3,Không rõ,Không rõ,Không rõ,Binh Thanh,0.0375,0.025,26.666666666666668,0.05,173,-0.053713335287950546,0.6712168486739469
"Nhà ngõ, hẻm",8.0,2.1972245773362196,133.33,60.0,4.6,60.0,6,3,4,Nội thất đầy đủ,Đã có sổ,Không rõ,Binh Thanh,0.1,0.05,15.0,0.07666666666666666,292,-0.05221014609094487,0.6862324492979719
"Nhà ngõ, hẻm",4.5,1.7047480922384253,180.0,25.0,4.0,25.0,2,2,3,Nội thất đầy đủ,Đã có sổ,Không rõ,Binh Thanh,0.08,0.08,8.333333333333334,0.16,272,-0.3152682555669438,0.16946177847113886
"Nhà ngõ, hẻm",8.899,2.2924337419376704,107.22,83.0,4.0,83.0,4,3,3,Không rõ,Đã có sổ,Hẻm xe hơi,Binh Thanh,0.04819277108433735,0.03614457831325301,27.666666666666668,0.04819277108433735,574,0.015358208314461662,0.7312792511700468
"Nhà ngõ, hẻm",10.9,2.4765384001174837,178.69,61.0,4.3,61.0,7,6,6,Nội thất cao cấp,Đã có sổ,Hẻm xe hơi,Binh Thanh,0.11475409836065574,0.09836065573770492,10.166666666666666,0.07049180327868852,260,0.16575228747488288,0.8104524180967239
"Nhà ngõ, hẻm",5.5,1.8718021769015913,157.14,35.0,4.0,35.0,2,3,3,Không rõ,Đã có sổ,Không rõ,Binh Thanh,0.05714285714285714,0.08571428571428572,11.666666666666666,0.11428571428571428,111,-0.2401087957166584,0.3164976599063963
"Nhà ngõ, hẻm",5.67,1.8976198599275325,166.76,34.0,3.6,34.0,2,3,2,Nội thất cao cấp,Đã có sổ,Khác,Binh Thanh,0.058823529411764705,0.08823529411764706,17.0,0.10588235294117647,267,-0.22733168754210992,0.3338533541341654
"Nhà ngõ, hẻm",4.68,1.7369512327330598,130.0,36.0,4.0,36.0,2,2,2,Nội thất đầy đủ,Đã có sổ,Hẻm xe hơi,Binh Thanh,0.05555555555555555,0.05555555555555555,18.0,0.1111111111111111,313,-0.3017395527938925,0.1940327613104524
"Nhà ngõ, hẻm",6.5,2.0149030205422647,158.54,41.0,4.0,41.0,1,1,2,Không rõ,Đã có sổ,Mặt tiền,Binh Thanh,0.024390243902439025,0.024390243902439025,20.5,0.0975609756097561,1203,-0.164949335866373,0.46801872074882994
Nhà phố liền kề,8.9,2.2925347571405443,107.23,83.0,4.0,83.0,2,3,2,Không rõ,Đã có sổ,Không rõ,Binh Thanh,0.024096385542168676,0.03614457831325301,41.5,0.04819277108433735,283,0.015433367774312038,0.7361544461778471
"Nhà ngõ, hẻm",5.25,1.8325814637483102,169.35,31.0,5.2,60.0,2,2,2,Nội thất cao cấp,Đã có sổ,Hẻm xe hơi,Binh Thanh,0.06451612903225806,0.06451612903225806,30.0,0.16774193548387098,193,-0.2588986606792298,0.27418096723868957
"Nhà ngõ, hẻm",9.6,2.3608540011180215,147.69,65.0,4.2,65.0,5,2,3,Hoàn thiện cơ bản,Đã có sổ,Hẻm xe hơi,Binh Thanh,0.07692307692307693,0.03076923076923077,21.666666666666668,0.06461538461538462,166,0.06804498966951178,0.7638455538221529
"Nhà ngõ, hẻm",6.7,2.0412203288596382,248.15,27.0,4.4,130.0,3,3,5,Không rõ,Đã có sổ,Hẻm xe hơi,Binh Thanh,0.1111111111111111,0.1111111111111111,26.0,0.16296296296296298,173,-0.1499174438963159,0.48498439937597504
"Nhà ngõ, hẻm",7.15,2.0980179272527715,223.44,32.0,6.5,32.0,3,3,4,Nội thất cao cấp,Đã có sổ,Hẻm xe hơi,Binh Thanh,0.09375,0.09375,8.0,0.203125,746,-0.11609568696368745,0.5635725429017161
"Nhà ngõ, hẻm",5.79,1.9154509415706047,156.49,37.0,3.3,37.0,3,3,3,Không rõ,Không rõ,Hẻm xe hơi,Binh Thanh,0.08108108108108109,0.08108108108108109,12.333333333333334,0.08918918918918918,224,-0.21831255236007566,0.3515990639625585
"Nhà mặt phố, mặt tiền",9.95,2.3933394562625097,355.36,28.0,3.5,125.0,3,3,4,Hoàn thiện cơ bản,Đã có sổ,Khác,Binh Thanh,0.10714285714285714,0.10714285714285714,31.25,0.125,107,0.09435080061711165,0.7802262090483619
"Nhà mặt phố, mặt tiền",15.799,2.821319360828077,202.56,78.0,5.5,400.0,10,6,5,Nội thất cao cấp,Đã có sổ,Hẻm xe hơi,Binh Thanh,0.1282051282051282,0.07692307692307693,80.0,0.07051282051282051,711,0.5339584812814311,0.9192667706708268
"Nhà ngõ, hẻm",5.2,1.8245492920510458,74.29,70.0,3.8,140.0,3,2,2,Nội thất cao cấp,Đã có sổ,Khác,Binh Thanh,0.04285714285714286,0.02857142857142857,70.0,0.054285714285714284,500,-0.262656633671744,0.26833073322932915
"Nhà ngõ, hẻm",1.85,1.0473189942805592,185.0,10.0,4.0,10.0,1,3,3,Không rõ,Không rõ,Không rõ,Binh Thanh,0.1,0.3,3.3333333333333335,0.4,834,-0.5144408241702002,0.007995319812792511
"Nhà mặt phố, mặt tiền",1.95,1.0818051703517284,195.0,10.0,2.0,23.0,2,2,3,Hoàn thiện cơ bản,Đã có sổ,Hẻm xe hơi,Binh Thanh,0.2,0.2,7.666666666666667,0.2,354,-0.5069248781851716,0.011115444617784711
"Nhà ngõ, hẻm",4.0,1.6094379124341003,114.29,35.0,5.0,35.0,3,3,3,Không rõ,Đã có sổ,Không rõ,Binh Thanh,0.08571428571428572,0.08571428571428572,11.666666666666666,0.14285714285714285,198,-0.35284798549208657,0.1376755070202808
"Nhà ngõ, hẻm",2.3,1.1939224684724346,88.46,26.0,4.0,26.0,1,2,3,Không rõ,Đã có sổ,Hẻm xe hơi,Binh Thanh,0.038461538461538464,0.07692307692307693,8.666666666666666,0.15384615384615385,321,-0.4806190672375718,0.019110764430577222
Nhà biệt thự,25.0,3.258096538021482,125.0,200.0,10.0,200.0,5,3,3,Không rõ,Đã có sổ,Không rõ,Binh Thanh,0.025,0.015,66.66666666666667,0.05,401,1.2255006713639074,0.9744539781591264
"Nhà mặt phố, mặt tiền",25.0,3.258096538021482,357.14,70.0,4.0,240.0,4,4,4,Không rõ,Khác,Mặt tiền,Binh Thanh,0.05714285714285714,0.05714285714285714,60.0,0.05714285714285714,482,1.2255006713639074,0.9744539781591264
"Nhà mặt phố, mặt tiền",14.2,2.7212954278522306,177.5,80.0,5.0,300.0,6,6,5,Không rõ,Không rõ,Mặt tiền,Binh Thanh,0.075,0.075,60.0,0.0625,656,0.4137785049808247,0.8958658346333853
"Nhà ngõ, hẻm",5.7,1.9021075263969205,158.33,36.0,4.0,36.0,3,2,2,Nội thất đầy đủ,Đã có sổ,Nhà nở hậu,Binh Thanh,0.08333333333333333,0.05555555555555555,18.0,0.1111111111111111,464,-0.22507690374660133,0.3469188767550702
"Nhà ngõ, hẻm",14.5,2.740840023925201,120.83,120.0,5.0,450.0,10,6,5,Hoàn thiện cơ bản,Đã có sổ,Hẻm xe hơi,Binh Thanh,0.08333333333333333,0.05,90.0,0.041666666666666664,731,0.4363263429359104,0.9007410296411856
"Nhà ngõ, hẻm",8.5,2.2512917986064953,141.67,60.0,5.0,60.0,5,3,4,Không rõ,Đã có sổ,Hẻm xe hơi,Binh Thanh,0.08333333333333333,0.05,15.0,0.08333333333333333,1594,-0.014630416165802157,0.7108034321372855
"Nhà ngõ, hẻm",3.95,1.599387576580599,164.58,24.0,4.0,24.0,2,3,3,Không rõ,Đã có sổ,Hẻm xe hơi,Binh Thanh,0.08333333333333333,0.125,8.0,0.16666666666666666,427,-0.3566059584846008,0.10471918876755071
"Nhà ngõ, hẻm",12.5,2.6026896854443837,178.57,70.0,4.5,280.0,6,6,4,Nội thất cao cấp,Đã có sổ,Hẻm xe hơi,Binh Thanh,0.08571428571428572,0.08571428571428572,70.0,0.06428571428571428,446,0.2860074232353395,0.8521840873634945
"Nhà mặt phố, mặt tiền",2.75,1.3217558399823195,176.28,15.6,3.6,15.6,2,2,3,Nội thất cao cấp,Đã có sổ,Nhà nở hậu,Binh Thanh,0.12820512820512822,0.12820512820512822,5.2,0.23076923076923078,315,-0.44679731030494335,0.036076443057722306
"Nhà ngõ, hẻm",4.45,1.6956156086751528,120.27,37.0,5.5,37.0,2,2,2,Không rõ,Đã có sổ,Không rõ,Binh Thanh,0.05405405405405406,0.05405405405405406,18.5,0.14864864864864866,380,-0.3190262285594581,0.15971138845553823
"Nhà ngõ, hẻm",7.5,2.1400661634962708,104.17,72.0,4.0,72.0,3,2,2,Không rõ,Đã có sổ,Mặt tiền,Binh Thanh,0.041666666666666664,0.027777777777777776,36.0,0.05555555555555555,1160,-0.08978987601608758,0.59399375975039
"Nhà mặt phố, mặt tiền",4.85,1.766441661243765,230.95,21.0,3.0,21.0,2,3,3,Hoàn thiện cơ bản,Đã có sổ,Hẻm xe hơi,Binh Thanh,0.09523809523809523,0.14285714285714285,7.0,0.14285714285714285,266,-0.28896244461934395,0.22737909516380655
"Nhà ngõ, hẻm",5.8,1.916922612182061,181.25,32.0,4.0,32.0,2,2,3,Không rõ,Đã có sổ,Không rõ,Binh Thanh,0.0625,0.0625,10.666666666666666,0.125,246,-0.2175609577615728,0.3547191887675507
"Nhà ngõ, hẻm",5.75,1.9095425048844383,108.49,53.0,4.0,53.0,2,3,2,Không rõ,Đã có sổ,Mặt tiền,Binh Thanh,0.03773584905660377,0.05660377358490566,26.5,0.07547169811320754,909,-0.22131893075408707,0.3496489859594384
"Nhà ngõ, hẻm",5.25,1.8325814637483102,175.0,30.0,4.0,30.0,2,2,2,Không rõ,Đã có sổ,Hẻm xe hơi,Binh Thanh,0.06666666666666667,0.06666666666666667,15.0,0.13333333333333333,1473,-0.2588986606792298,0.27418096723868957
"Nhà ngõ, hẻm",5.25,1.8325814637483102,134.62,39.0,3.5,39.0,2,3,2,Nội thất đầy đủ,Đã có sổ,Nhà nở hậu,Binh Thanh,0.05128205128205128,0.07692307692307693,19.5,0.08974358974358974,233,-0.2588986606792298,0.27418096723868957
"Nhà ngõ, hẻm",7.7,2.1633230256605382,256.67,30.0,5.0,120.0,3,4,3,Không rõ,Không rõ,Hẻm xe hơi,Binh Thanh,0.1,0.13333333333333333,40.0,0.16666666666666666,513,-0.07475798404603048,0.624414976599064
"Nhà ngõ, hẻm",9.2,2.322387720290225,184.0,50.0,4.0,200.0,4,4,4,Hoàn thiện cơ bản,Đã có sổ,Hẻm xe hơi,Binh Thanh,0.08,0.08,50.0,0.08,289,0.03798120572939759,0.750585023400936
"Nhà ngõ, hẻm",5.99,1.9444805562457188,157.63,38.0,3.6,38.0,3,3,3,Không rõ,Đã có sổ,Nhà nở hậu,Binh Thanh,0.07894736842105263,0.07894736842105263,12.666666666666666,0.09473684210526316,467,-0.20328066039001855,0.3952808112324493
"Nhà ngõ, hẻm",3.979,1.6052290676600456,221.06,18.0,3.5,69.0,2,3,3,Nội thất cao cấp,Đã có sổ,Không rõ,Binh Thanh,0.1111111111111111,0.16666666666666666,23.0,0.19444444444444445,425,-0.35442633414894253,0.10803432137285492
"Nhà ngõ, hẻm",6.15,1.9671123567059163,128.12,48.0,4.0,96.0,2,2,2,Không rõ,Đã có sổ,Nhà nở hậu,Binh Thanh,0.041666666666666664,0.041666666666666664,48.0,0.08333333333333333,133,-0.19125514681397288,0.4167316692667707
"Nhà ngõ, hẻm",13.0,2.639057329615259,141.0,92.2,4.2,92.2,4,4,3,Không rõ,Đã có sổ,Khác,Binh Thanh,0.04338394793926247,0.04338394793926247,30.733333333333334,0.0455531453362256,222,0.32358715316048225,0.8666146645865834
"Nhà ngõ, hẻm",4.68,1.7369512327330598,141.82,33.0,3.0,33.0,2,2,2,Không rõ,Đã có sổ,Hẻm xe hơi,Binh Thanh,0.06060606060606061,0.06060606060606061,16.5,0.09090909090909091,524,-0.3017395527938925,0.1940327613104524
"Nhà mặt phố, mặt tiền",56.0,4.04305126783455,208.96,268.0,11.0,268.0,5,3,3,Không rõ,Đã có sổ,Hẻm xe hơi,Binh Thanh,0.018656716417910446,0.011194029850746268,89.33333333333333,0.041044776119402986,772,3.5554439267227553,0.9976599063962559
"Nhà ngõ, hẻm",5.35,1.8484548129046003,140.79,38.0,3.3,38.0,2,2,2,Nội thất cao cấp,Đã có sổ,Nhà nở hậu,Binh Thanh,0.05263157894736842,0.05263157894736842,19.0,0.08684210526315789,383,-0.25138271469420126,0.28471138845553823
"Nhà ngõ, hẻm",5.99,1.9444805562457188,157.63,38.0,3.6,38.0,3,3,2,Nội thất cao cấp,Đã có sổ,Nhà nở hậu,Binh Thanh,0.07894736842105263,0.07894736842105263,19.0,0.09473684210526316,830,-0.20328066039001855,0.3952808112324493
Nhà phố liền kề,12.8,2.624668592163159,139.13,92.0,6.0,216.0,5,5,4,Nội thất đầy đủ,Đã có sổ,Hẻm xe hơi,Binh Thanh,0.05434782608695652,0.05434782608695652,54.0,0.06521739130434782,390,0.3085552611904252,0.857839313572543
"Nhà ngõ, hẻm",13.99,2.7073833121145063,139.9,100.0,5.0,100.0,2,2,2,Hoàn thiện cơ bản,Đã có sổ,Hẻm xe hơi,Binh Thanh,0.02,0.02,50.0,0.05,450,0.3979950184122648,0.8896255850234009
"Nhà ngõ, hẻm",4.68,1.7369512327330598,141.82,33.0,3.0,33.0,2,2,2,Không rõ,Đã có sổ,Nhà nở hậu,Binh Thanh,0.06060606060606061,0.06060606060606061,16.5,0.09090909090909091,244,-0.3017395527938925,0.1940327613104524
"Nhà ngõ, hẻm",7.6,2.151762203259462,185.37,41.0,3.6,82.0,2,3,2,Nội thất đầy đủ,Đã có sổ,Nhà nở hậu,Binh Thanh,0.04878048780487805,0.07317073170731707,41.0,0.0878048780487805,705,-0.08227393003105907,0.6119344773790951
"Nhà ngõ, hẻm",1.3,0.832909122935104,86.67,15.0,4.0,15.0,3,2,3,Không rõ,Đã có sổ,Hẻm xe hơi,Binh Thanh,0.2,0.13333333333333333,5.0,0.26666666666666666,288,-0.5557785270878572,0.0031201248049922
"Nhà ngõ, hẻm",3.95,1.599387576580599,164.58,24.0,4.0,75.0,2,3,4,Nội thất đầy đủ,Đã có sổ,Hẻm xe hơi,Binh Thanh,0.08333333333333333,0.125,18.75,0.16666666666666666,305,-0.3566059584846008,0.10471918876755071
"Nhà ngõ, hẻm",7.85,2.180417459019838,239.33,32.8,4.1,131.2,3,4,3,Nội thất đầy đủ,Đã có sổ,Hẻm xe hơi,Binh Thanh,0.09146341463414635,0.12195121951219513,43.73333333333333,0.125,308,-0.06348406506848771,0.6478159126365055
Nhà phố liền kề,25.8,3.288401887516811,129.0,200.0,10.0,380.0,5,5,4,Nội thất đầy đủ,Đã có sổ,Hẻm xe hơi,Binh Thanh,0.025,0.025,95.0,0.05,493,1.2856282392441356,0.9764040561622465
"Nhà ngõ, hẻm",4.85,1.766441661243765,161.67,30.0,3.5,30.0,3,3,3,Hoàn thiện cơ bản,Đã có sổ,Hẻm xe hơi,Binh Thanh,0.1,0.1,10.0,0.11666666666666667,395,-0.28896244461934395,0.22737909516380655
"Nhà ngõ, hẻm",5.35,1.8484548129046003,137.18,39.0,4.0,39.0,2,2,2,Không rõ,Đã có sổ,Hẻm xe hơi,Binh Thanh,0.05128205128205128,0.05128205128205128,19.5,0.10256410256410256,920,-0.25138271469420126,0.28471138845553823
"Nhà mặt phố, mặt tiền",11.9,2.5572273113676265,172.46,69.0,4.0,69.0,1,1,1,Không rõ,Đã có sổ,Khác,Binh Thanh,0.014492753623188406,0.014492753623188406,69.0,0.057971014492753624,1099,0.2409117473251683,0.8369734789391575
"Nhà ngõ, hẻm",13.6,2.681021528714291,160.0,85.0,4.0,85.0,4,6,4,Nội thất cao cấp,Đã có sổ,Hẻm xe hơi,Binh Thanh,0.047058823529411764,0.07058823529411765,21.25,0.047058823529411764,766,0.3686828290706535,0.8822152886115444
"Nhà ngõ, hẻm",8.1,2.2082744135228043,202.5,40.0,4.0,40.0,4,4,4,Nội thất đầy đủ,Đã có sổ,Hẻm xe hơi,Binh Thanh,0.1,0.1,10.0,0.1,305,-0.044694200105916355,0.6936427457098284
"Nhà mặt phố, mặt tiền",19.1,3.0007198150650303,238.75,80.0,4.0,80.0,10,6,7,Không rõ,Đã có sổ,Mặt tiền,Binh Thanh,0.125,0.075,11.428571428571429,0.05,1095,0.7820598582472235,0.9442277691107644
"Nhà ngõ, hẻm",12.5,2.6026896854443837,190.26,65.7,4.0,135.0,3,3,3,Nội thất đầy đủ,Đã có sổ,Hẻm xe hơi,Binh Thanh,0.045662100456621,0.045662100456621,45.0,0.060882800608828,423,0.2860074232353395,0.8521840873634945
"Nhà mặt phố, mặt tiền",10.2,2.4159137783010487,200.0,51.0,4.0,51.0,5,5,5,Nội thất đầy đủ,Đã có sổ,Hẻm xe hơi,Binh Thanh,0.09803921568627451,0.09803921568627451,10.2,0.0784313725490196,294,0.11314066557968301,0.7925117004680188
"Nhà ngõ, hẻm",6.3,1.9878743481543455,157.5,40.0,4.0,40.0,3,4,3,Nội thất đầy đủ,Đã có sổ,Hẻm xe hơi,Binh Thanh,0.075,0.1,13.333333333333334,0.1,426,-0.17998122783643009,0.43642745709828396
"Nhà ngõ, hẻm",3.98,1.6054298910365616,199.0,20.0,3.4,80.0,3,3,4,Nội thất cao cấp,Đã có sổ,Không rõ,Binh Thanh,0.15,0.15,20.0,0.16999999999999998,419,-0.3543511746890922,0.12012480499219969
"Nhà ngõ, hẻm",6.1,1.9600947840472698,122.0,50.0,4.0,50.0,3,3,3,Hoàn thiện cơ bản,Đã có sổ,Hẻm xe hơi,Binh Thanh,0.06,0.06,16.666666666666668,0.08,361,-0.1950131198064872,0.4155616224648986
"Nhà ngõ, hẻm",5.9,1.9315214116032138,155.26,38.0,3.8,38.0,3,3,2,Nội thất đầy đủ,Đã có sổ,Hẻm xe hơi,Binh Thanh,0.07894736842105263,0.07894736842105263,19.0,0.09999999999999999,407,-0.21004501177654422,0.3716848673946958
"Nhà ngõ, hẻm",3.55,1.515127232962859,126.79,28.0,4.0,56.0,2,3,2,Nội thất đầy đủ,Đã có sổ,Mặt tiền,Binh Thanh,0.07142857142857142,0.10714285714285714,28.0,0.14285714285714285,561,-0.386669742424715,0.062402496099843996
"Nhà ngõ, hẻm",17.5,2.917770732084279,159.09,110.0,7.0,110.0,2,2,5,Bàn giao thô,Đã có sổ,Nhà nở hậu,Binh Thanh,0.01818181818181818,0.01818181818181818,22.0,0.06363636363636363,823,0.6618047224867666,0.9340873634945398
"Nhà ngõ, hẻm",5.4,1.8562979903656263,114.89,47.0,3.7,94.0,2,2,2,Không rõ,Đã có sổ,Không rõ,Binh Thanh,0.0425531914893617,0.0425531914893617,47.0,0.07872340425531915,324,-0.24762474170168694,0.2958268330733229
"Nhà ngõ, hẻm",3.98,1.6054298910365616,209.47,19.0,4.0,19.0,2,3,3,Nội thất đầy đủ,Đã có sổ,Mặt tiền,Binh Thanh,0.10526315789473684,0.15789473684210525,6.333333333333333,0.21052631578947367,879,-0.3543511746890922,0.12012480499219969
"Nhà ngõ, hẻm",4.0,1.6094379124341003,133.33,30.0,3.6,30.0,2,2,3,Nội thất cao cấp,Đã có sổ,Mặt tiền,Binh Thanh,0.06666666666666667,0.06666666666666667,10.0,0.12000000000000001,780,-0.35284798549208657,0.1376755070202808
"Nhà ngõ, hẻm",7.0,2.0794415416798357,213.42,32.8,4.1,100.0,3,3,3,Nội thất cao cấp,Đã có sổ,Hẻm xe hơi,Binh Thanh,0.09146341463414635,0.09146341463414635,33.333333333333336,0.125,134,-0.12736960594123029,0.5514820592823713
"Nhà ngõ, hẻm",9.0,2.302585092994046,132.35,68.0,4.9,68.0,4,4,3,Không rõ,Đã có sổ,Không rõ,Binh Thanh,0.058823529411764705,0.058823529411764705,22.666666666666668,0.07205882352941177,234,0.022949313759340555,0.7464898595943837
"Nhà ngõ, hẻm",4.59,1.7209792871670078,193.1,23.77,4.0,47.54,2,2,2,Nội thất cao cấp,Đã có sổ,Mặt tiền,Binh Thanh,0.08413967185527976,0.08413967185527976,23.77,0.16827934371055953,427,-0.3085039041804182,0.1796021840873635
Nhà phố liền kề,12.8,2.624668592163159,156.1,82.0,5.0,255.0,4,5,4,Nội thất đầy đủ,Đã có sổ,Nhà nở hậu,Binh Thanh,0.04878048780487805,0.06097560975609756,63.75,0.06097560975609756,516,0.3085552611904252,0.857839313572543
"Nhà ngõ, hẻm",6.98,2.0769384114617173,205.29,34.0,4.0,34.0,3,4,5,Không rõ,Đã có sổ,Hẻm xe hơi,Binh Thanh,0.08823529411764706,0.11764705882352941,6.8,0.11764705882352941,313,-0.12887279513823596,0.5413416536661466
"Nhà ngõ, hẻm",6.35,1.9947003132247452,127.0,50.0,4.2,50.0,3,4,3,Nội thất đầy đủ,Đã có sổ,Hẻm xe hơi,Binh Thanh,0.06,0.08,16.666666666666668,0.084,459,-0.17622325484391585,0.4409126365054602
"Nhà ngõ, hẻm",5.99,1.9444805562457188,149.75,40.0,4.0,40.0,3,3,3,Nội thất đầy đủ,Đã có sổ,Nhà nở hậu,Binh Thanh,0.075,0.075,13.333333333333334,0.1,539,-0.20328066039001855,0.3952808112324493
"Nhà ngõ, hẻm",6.48,2.012232791986386,109.83,59.0,3.4,75.0,3,2,2,Nội thất đầy đủ,Đã có sổ,Nhà nở hậu,Binh Thanh,0.05084745762711865,0.03389830508474576,37.5,0.0576271186440678,597,-0.16645252506337868,0.4580733229329173
"Nhà ngõ, hẻm",4.8,1.7578579175523736,137.14,35.0,3.3,63.0,3,2,2,Bàn giao thô,Đã có sổ,Nhà nở hậu,Binh Thanh,0.08571428571428572,0.05714285714285714,31.5,0.09428571428571428,498,-0.29272041761185824,0.22094383775351015
"Nhà ngõ, hẻm",8.0,2.1972245773362196,126.98,63.0,8.0,130.0,3,3,4,Nội thất đầy đủ,Đã có sổ,Hẻm xe hơi,Binh Thanh,0.047619047619047616,0.047619047619047616,32.5,0.12698412698412698,534,-0.05221014609094487,0.6862324492979719
"Nhà mặt phố, mặt tiền",6.3,1.9878743481543455,210.0,30.0,3.2,150.0,4,3,5,Hoàn thiện cơ bản,Đã có sổ,Mặt tiền,Binh Thanh,0.13333333333333333,0.1,30.0,0.10666666666666667,596,-0.17998122783643009,0.43642745709828396
"Nhà ngõ, hẻm",7.8,2.174751721484161,278.57,28.0,4.0,28.0,3,4,4,Không rõ,Đã có sổ,Hẻm xe hơi,Binh Thanh,0.10714285714285714,0.14285714285714285,7.0,0.14285714285714285,101,-0.06724203806100197,0.6372854914196567
"Nhà ngõ, hẻm",3.7,1.547562508716013,180.49,20.5,5.0,60.0,2,2,3,Không rõ,Đã có sổ,Hẻm xe hơi,Binh Thanh,0.0975609756097561,0.0975609756097561,20.0,0.24390243902439024,214,-0.37539582344717215,0.07410296411856475
"Nhà ngõ, hẻm",4.25,1.6582280766035324,177.08,24.0,4.0,96.0,2,3,4,Hoàn thiện cơ bản,Đã có sổ,Hẻm xe hơi,Binh Thanh,0.08333333333333333,0.125,24.0,0.16666666666666666,121,-0.3340581205295152,0.14664586583463338
"Nhà mặt phố, mặt tiền",36.0,3.6109179126442243,198.9,181.0,4.2,300.0,4,4,1,Không rõ,Đã có sổ,Không rõ,Binh Thanh,0.022099447513812154,0.022099447513812154,300.0,0.023204419889502764,116,2.052254729717047,0.9925897035881436
"Nhà ngõ, hẻm",5.8,1.916922612182061,170.59,34.0,4.0,34.0,2,2,2,Nội thất đầy đủ,Đã có sổ,Hẻm xe hơi,Binh Thanh,0.058823529411764705,0.058823529411764705,17.0,0.11764705882352941,600,-0.2175609577615728,0.3547191887675507
"Nhà ngõ, hẻm",7.5,2.1400661634962708,100.0,75.0,5.0,75.0,4,5,4,Không rõ,Đã có sổ,Hẻm xe hơi,Binh Thanh,0.05333333333333334,0.06666666666666667,18.75,0.06666666666666667,201,-0.08978987601608758,0.59399375975039
"Nhà ngõ, hẻm",6.0,1.9459101490553132,33.52,179.0,4.0,179.0,3,2,3,Nội thất đầy đủ,Đã có sổ,Nhà nở hậu,Binh Thanh,0.01675977653631285,0.0111731843575419,59.666666666666664,0.0223463687150838,286,-0.20252906579151572,0.40659126365054604
"Nhà mặt phố, mặt tiền",22.0,3.1354942159291497,200.0,110.0,5.5,110.0,10,6,5,Không rõ,Đã có sổ,Mặt tiền,Binh Thanh,0.09090909090909091,0.05454545454545454,22.0,0.05,572,1.000022291813051,0.9561232449297972
"Nhà ngõ, hẻm",17.5,2.917770732084279,162.04,108.0,7.0,108.0,4,4,3,Nội thất đầy đủ,Đã có sổ,Hẻm xe hơi,Binh Thanh,0.037037037037037035,0.037037037037037035,36.0,0.06481481481481481,452,0.6618047224867666,0.9340873634945398
"Nhà ngõ, hẻm",5.99,1.9444805562457188,157.63,38.0,3.6,38.0,3,4,3,Không rõ,Đã có sổ,Nhà nở hậu,Binh Thanh,0.07894736842105263,0.10526315789473684,12.666666666666666,0.09473684210526316,1126,-0.20328066039001855,0.3952808112324493
"Nhà ngõ, hẻm",7.9,2.186051276738094,143.64,55.0,4.0,55.0,2,2,2,Bàn giao thô,Đã có sổ,Hẻm xe hơi,Binh Thanh,0.03636363636363636,0.03636363636363636,27.5,0.07272727272727272,830,-0.05972609207597338,0.6601014040561622
"Nhà ngõ, hẻm",5.99,1.9444805562457188,157.63,38.0,3.8,38.0,3,3,2,Nội thất cao cấp,Đã có sổ,Không rõ,Binh Thanh,0.07894736842105263,0.07894736842105263,19.0,0.09999999999999999,249,-0.20328066039001855,0.3952808112324493
"Nhà ngõ, hẻm",7.9,2.186051276738094,151.92,52.0,4.0,52.0,2,3,3,Không rõ,Đã có sổ,Hẻm xe hơi,Binh Thanh,0.038461538461538464,0.057692307692307696,17.333333333333332,0.07692307692307693,278,-0.05972609207597338,0.6601014040561622
"Nhà ngõ, hẻm",6.0,1.9459101490553132,125.0,48.0,4.0,100.0,2,2,1,Hoàn thiện cơ bản,Đã có sổ,Hẻm xe hơi,Binh Thanh,0.041666666666666664,0.041666666666666664,100.0,0.08333333333333333,212,-0.20252906579151572,0.40659126365054604
